Insertion Sort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mean,Standard Deviation,Size: 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12547405,9875640,9950778,9877528,9798613,9675899,9685716,9697799,9693646,9714035,9775203,11081634,9881304,11722768,11140537,11109575,10403876,9996089,9774448,12521352,16551655,16169543,12602909,15347548,11210768,12704857,10445410,12842674,13568008,14637318,12817376,10006283,9747262,11687652,9920194,9786154,9772183,10127486,9787664,9802012,9761233,9736312,9727250,9719699,9783888,9722719,10455604,12726379,11944030,14546321,9932277,9779734,9864690,9817492,9719699,9901693,9754814,11854544,11223605,9757835,9898295,9896407,10152029,9735179,9729138,10569256,11264384,11544927,11271936,9787663,10122578,10054614,14790616,10278897,10012702,9926614,9704595,9832596,9697799,9721587,9851097,9698932,9780489,9688737,10050083,11853411,10701788,9918307,9895274,10166755,10353658,13378084,9797481,10021764,14856693,13110379,9732537,10554909,15443077,14145329
,,,92715852,72082920,69730210,61321851,61096814,61085108,63864107,61458914,60732447,63309063,61612967,61774572,72388384,61042442,62043410,68914635,61356589,60224601,64105759,62174053,60264246,61735303,62294124,60883102,59668423,65976675,60656553,60671280,64867340,60660329,61407563,63697971,61769663,61081710,61727374,71199002,60837792,64132567,65710480,59815302,60123786,64356473,61317321,58942712,63195788,60801922,59911586,61378489,63090066,60685627,60535727,63862219,61086996,60888011,64390455,60987692,61545003,61760979,66860970,60559515,59930465,64842420,61411339,60001828,62656224,61198760,60571976,63030408,61842159,60162678,62533133,63342289,60220824,60899338,62918644,61132306,59694476,64393098,63048532,77879171,83321250,61083598,59814548,67005962,60861203,59964447,67259696,80143904,70012264,64478809,59744317,62540307,64613984,61194985,61516306,64885087,60569710,60022217,61171197,61248224
,,,173337774,124499138,130843638,123717545,121286299,129051636,121029921,129167177,125143292,122979374,124180837,137991630,143488459,129277808,121670676,131929939,130048074,121382960,129306127,123793061,121029543,126371941,121549473,131733597,130042788,121536635,124766089,122862701,122261969,124487056,121739019,124498005,123739823,122252152,135667994,127745583,122414512,123637498,122365804,124368495,122925379,121894582,124551245,121312352,124605616,130393561,121521154,126340602,128557005,138392622,123655244,120739561,136186413,154543285,121280635,126146148,138466627,121025390,126162006,124020742,145867599,127789005,121273084,125407976,128471294,123245190,125472921,128829996,124600331,125131210,120506593,131993750,130131519,123999599,124422867,123262937,122020695,125897322,119864327,126584520,123110772,122387703,123791928,119703100,125034171,124851044,120717283,124428530,120948364,124486300,131826104,120509992,126920190,121547208,123121344,128327436,121599692,123932011,120824894,122787185
,,,Size: 100K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,560708,430820,431198,431953,381357,381357,379469,379847,380224,387776,383622,368897,450832,373428,382113,384000,388908,378337,382112,417227,371163,369274,369274,380224,375316,369275,369652,369652,370408,369274,369275,369275,370784,451587,370030,440260,369652,368897,373428,372673,368897,369652,373051,373050,369274,369274,369275,373428,369275,413451,369275,377959,376448,369275,406277,369274,372672,369275,369274,369274,373050,373806,371540,369275,369275,373428,369275,369274,368897,373050,369274,369275,369274,373051,388909,369274,369275,416094,373428,369275,369275,369653,373805,373051,369652,369275,369274,373050,373428,368897,369652,373051,387776,369274,368520,370785,380979,369274,368897,369275
,,,262259311,261451664,255629360,268009120,274798409,275933796,263471347,261436561,281891275,265177260,268484495,262200030,259105374,271298985,262962745,260143723,264111725,264846120,258266388,266927349,261597411,259354956,255601797,286096021,275376864,294140391,273335282,269292519,315117677,278636524,277447898,275310032,263103960,266757060,280871805,286436977,259683451,278689007,261419948,258284512,288302984,259414990,260987239,266135183,264970345,270888177,261542284,274040226,261161304,276011578,267086688,259587168,257300535,259579994,258278848,256083591,267798052,256296546,252703483,254847390,265582782,265658676,260665540,257570506,256119460,257545963,258938483,275208463,257223508,254710704,260850933,259427829,268246618,262121494,257084559,255932936,252534703,267904529,259488997,253161866,254666528,260559440,251842975,263384881,262749789,263600479,261404089,262798875,265910900,258177657,257622990,257006777,257802341,255179283,264437578,266845036,254739023,253221523,254268179,273015470
,,,6267939644,6270708826,6214181502,6179454592,6143982335,6134571875,6170206492,6132239556,6232742645,6162480045,6154623333,6144888531,6141044375,6133491616,6150687802,6176760171,6150052333,6185693367,6152170187,6156103452,6174640429,6164986808,6129678422,6142800128,6156393433,6141665496,6224028446,6151547555,6147107198,6165808046,6196473693,6115402826,6188209570,6166208283,6131846871,6149151423,6199497364,6180801047,6143392931,6169562338,6390037743,6121734110,6168807553,6166863765,6134136902,6143169780,6153726199,6178865942,6167515092,6155786282,6164217674,6131909928,6133714011,6173645125,6126301334,6155596737,6190412757,6160330474,6193159283,6145359374,6141895443,6175341976,6143560577,6182237744,6189616815,6154735852,6204266971,6179092869,6158648727,6164654158,6166037616,6138039205,6176808879,6185512884,6144730702,6130335413,6169107352,6167079363,6231910456,6129563637,6162895007,6150476734,6183390499,6128563046,6170595400,6146376578,6137789246,6165323232,6175195474,6149279424,6169119057,6150458988,6153887427,6188853346,6149858633,6652296299,6127834692,6123756059,6090348795,6096794486
,,,12701356951,12364086956,12349642581,12387437340,12349378652,13420274834,12416034218,12388172114,12379819259,12342940513,12408155606,12370524340,12343433634,12384881493,12381231791,12353227338,12352563551,12363400136,12381436063,12371323302,12374432684,13078541071,13437873900,12472414285,12450093565,12467934661,12428190449,12426722413,12446648512,12446267910,12479222832,13058621768,12721897376,12780500265,17031599404,32071748383,32277398057,32172857490,32146014100,27348296127,18151725773,17160004999,17908857529,17958476248,17904918978,17736001172,17913019986,17443442092,18453232021,16558389933,17265812728,17531382295,17320093822,19844231841,23817662953,27728271327,22025251507,18968983581,18255313702,18027185101,19967409067,17618127453,16597920055,17577955820,17405446837,18337986645,17846676302,18248771351,17947219793,16759780489,16902387673,17847962344,17383939805,16575888563,17339814894,18279258401,17683813391,17566179813,18136116561,17161276693,17631223107,18272296933,16811550666,17611927946,17751841842,18366681694,17086458196,17421867849,16841619355,16556520150,18012107900,18142264717,18059013697,17132302234,18075203629,17852259220,17548561113,17010556041,17217903321,16812284306
,,,Size: 1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5744522,5537986,4980298,5487012,5782280,5903862,5679956,5633136,6494399,8894306,9236394,9457658,9288879,8134612,5168711,5454162,4832286,5460958,5156628,4980675,4974257,5154363,4922905,4260250,3956298,4325950,3954032,4073725,3955165,4395424,4191531,3975177,3935530,3999719,3922692,4706929,3992168,5323142,4475849,5625207,5637667,6879154,8031155,7665279,7636960,8031911,9655510,9272265,9302094,7175555,7280901,9210341,7955261,8526919,4227023,4223624,4170763,4487932,4183979,4456593,4708061,4507189,3954787,3713512,3951766,4109595,4162457,3857371,3952521,3710869,3897394,4112616,4123566,6221030,5008238,5173620,4978032,4982564,7464783,4343318,5396770,5397525,5663720,5440569,5438304,5056192,7183485,8848618,10415204,12103748,12598001,9544878,9590188,9272643,9231108,9230353,9306625,9302472,8010388,6920310
